,diferencia,T,xT
439,36.960959428425625,1,36.960959428425625
440,35.369239311493615,1,35.369239311493615
441,65.47092825569534,1,65.47092825569534
442,19.505853908953913,1,19.505853908953913
443,43.55620437956204,1,43.55620437956204
444,47.653986065725384,1,47.653986065725384
445,68.57446306348832,1,68.57446306348832
446,-42.12042547025466,0,-0.0
447,66.93935341776135,1,66.93935341776135
448,78.92086330935251,1,78.92086330935251
449,28.624305983960518,1,28.624305983960518
450,63.63395225464191,1,63.63395225464191
451,33.11200609556983,1,33.11200609556983
452,25.97667308345601,1,25.97667308345601
453,-5.741963566315048,0,-0.0
454,66.35044642857143,1,66.35044642857143
455,50.65803544693653,1,50.65803544693653
456,-51.903695408734606,0,-0.0
457,71.6179199434479,1,71.6179199434479
458,47.88311371400683,1,47.88311371400683
459,46.66071251364494,1,46.66071251364494
460,62.45839277223014,1,62.45839277223014
461,-4.346318226791925,0,-0.0
462,21.644084017528836,1,21.644084017528836
463,49.76769609182837,1,49.76769609182837
464,63.883653028791066,1,63.883653028791066
465,46.69215425531915,1,46.69215425531915
466,62.90037335429357,1,62.90037335429357
467,-10.845111047014711,0,-0.0
468,25.84047462096243,1,25.84047462096243
469,37.561108093427485,1,37.561108093427485
470,34.685404024273396,1,34.685404024273396
471,38.495049504950494,1,38.495049504950494
472,41.209367354072,1,41.209367354072
473,29.123817359111477,1,29.123817359111477
474,52.99163476534808,1,52.99163476534808
475,-21.178957841064545,0,-0.0
476,36.292682926829265,1,36.292682926829265
477,30.83475298126065,1,30.83475298126065
478,18.18379376850569,1,18.18379376850569
479,60.02109704641351,1,60.02109704641351
480,-27.175180779099605,0,-0.0
481,56.69317706153202,1,56.69317706153202
482,22.243166823751178,1,22.243166823751178
483,18.69874838152784,1,18.69874838152784
484,20.091634142202615,1,20.091634142202615
485,15.423156518897724,1,15.423156518897724
486,49.84251968503937,1,49.84251968503937
487,9.9274532264223,1,9.9274532264223
488,41.42800788954635,1,41.42800788954635
489,51.151685393258425,1,51.151685393258425
490,41.346051934287225,1,41.346051934287225
491,68.75704395427468,1,68.75704395427468
492,-18.590456674473067,0,-0.0
493,-2.3500125608057183,0,-0.0
494,40.10509721492381,1,40.10509721492381
495,42.0,1,42.0
496,41.240847664896826,1,41.240847664896826
497,3.0096270679502757,1,3.0096270679502757
498,69.18895723072522,1,69.18895723072522
499,73.97560641359463,1,73.97560641359463
500,69.55619596541787,1,69.55619596541787
501,57.51518576070066,1,57.51518576070066
502,37.02056698165648,1,37.02056698165648
503,39.98515533877637,1,39.98515533877637
504,10.919540229885058,1,10.919540229885058
505,60.93848282802868,1,60.93848282802868
506,-11.295336787564766,0,-0.0
507,-32.375386914291816,0,-0.0
508,-25.91981696772992,0,-0.0
509,56.102671555788376,1,56.102671555788376
510,17.634672749605194,1,17.634672749605194
511,32.34554095610847,1,32.34554095610847
512,24.244410177332306,1,24.244410177332306
513,59.907786885245905,1,59.907786885245905
514,-20.214320506575742,0,-0.0
515,-2.2327531212977307,0,-0.0
516,-24.822695035460992,0,-0.0
517,-21.850613154960982,0,-0.0
518,49.629306585259485,1,49.629306585259485
519,22.545561434450324,1,22.545561434450324
520,29.942013705851345,1,29.942013705851345
521,-9.452022014836086,0,-0.0
522,21.820608649225843,1,21.820608649225843
523,37.41794310722101,1,37.41794310722101
524,46.92577953447519,1,46.92577953447519
525,62.013083556348505,1,62.013083556348505
526,35.11111111111111,1,35.11111111111111
527,23.440468344124373,1,23.440468344124373
528,25.10324483775811,1,25.10324483775811
529,1.5790772267456203,1,1.5790772267456203
530,65.51208572140543,1,65.51208572140543
531,34.941413401684365,1,34.941413401684365
532,61.51050586908392,1,61.51050586908392
533,56.435374149659864,1,56.435374149659864
534,41.74485596707819,1,41.74485596707819
535,-13.807890222984561,0,-0.0
536,-0.581809546426027,0,-0.0
537,58.866615265998455,1,58.866615265998455
538,14.272890484739678,1,14.272890484739678
539,36.86964795432921,1,36.86964795432921
540,68.63478039249001,1,68.63478039249001
541,44.75660364929846,1,44.75660364929846
542,41.843255970400264,1,41.843255970400264
543,16.21923937360179,1,16.21923937360179
544,10.266604303086996,1,10.266604303086996
545,49.95160900072587,1,49.95160900072587
546,-36.62684036074925,0,-0.0
547,-29.871570937017605,0,-0.0
548,-33.72697930510727,0,-0.0
549,-38.56994339840591,0,-0.0
550,35.35514764565043,1,35.35514764565043
551,39.76945244956772,1,39.76945244956772
552,24.323533713617085,1,24.323533713617085
553,36.384514435695536,1,36.384514435695536
554,31.25184965966262,1,31.25184965966262
555,25.96055514974434,1,25.96055514974434
556,-7.31402540295155,0,-0.0
557,13.880148741418763,1,13.880148741418763
558,13.857677902621724,1,13.857677902621724
559,15.172141659268028,1,15.172141659268028
560,24.990830174838,1,24.990830174838
561,36.94515220598096,1,36.94515220598096
562,40.54848188050931,1,40.54848188050931
563,31.835170100622907,1,31.835170100622907
564,39.81573352232459,1,39.81573352232459
565,18.080119326656725,1,18.080119326656725
566,7.70114434675032,1,7.70114434675032
567,40.607824118978336,1,40.607824118978336
568,23.1663263703471,1,23.1663263703471
569,28.21793416572077,1,28.21793416572077
570,42.425661437602436,1,42.425661437602436
571,22.785227522532423,1,22.785227522532423
572,5.143309301916652,1,5.143309301916652
573,38.22500728650539,1,38.22500728650539
574,9.639258845734641,1,9.639258845734641
575,45.23068947641265,1,45.23068947641265
576,29.570618417499322,1,29.570618417499322
577,29.809056192034916,1,29.809056192034916
578,6.952386041789131,1,6.952386041789131
579,36.030057577827655,1,36.030057577827655
580,1.2439586434732957,1,1.2439586434732957
581,37.49734438070958,1,37.49734438070958
582,19.61683481096505,1,19.61683481096505
583,14.953036944270506,1,14.953036944270506
584,33.83519837232961,1,33.83519837232961
585,40.5740011254924,1,40.5740011254924
586,23.75052498950021,1,23.75052498950021
587,39.44723618090452,1,39.44723618090452
588,33.303855677396534,1,33.303855677396534
589,22.862037159045986,1,22.862037159045986
590,41.1006018916595,1,41.1006018916595
591,29.170129407574496,1,29.170129407574496
592,37.530496069395504,1,37.530496069395504
593,30.874434632780527,1,30.874434632780527
594,20.789882405147548,1,20.789882405147548
595,45.95668587323664,1,45.95668587323664
596,51.8941504178273,1,51.8941504178273
597,24.155193992490613,1,24.155193992490613
598,19.443355546844373,1,19.443355546844373
599,18.363868768640817,1,18.363868768640817
600,0.44994375703037126,1,0.44994375703037126
601,-38.27359625580073,0,-0.0
602,19.36869443612027,1,19.36869443612027
603,43.63935776039523,1,43.63935776039523
604,36.54320987654321,1,36.54320987654321
605,16.151764927955703,1,16.151764927955703
606,-8.981022814484058,0,-0.0
607,28.66680153752782,1,28.66680153752782
608,38.09634628810799,1,38.09634628810799
609,67.40845959595958,1,67.40845959595958
610,31.326997536078842,1,31.326997536078842
611,45.72136458928912,1,45.72136458928912
612,31.166685655691012,1,31.166685655691012
613,8.485875706214689,1,8.485875706214689
614,39.03785488958991,1,39.03785488958991
615,24.27238805970149,1,24.27238805970149
616,41.34806629834254,1,41.34806629834254
617,41.15504682622269,1,41.15504682622269
618,42.396958783513405,1,42.396958783513405
619,6.627894791994132,1,6.627894791994132
620,60.166031573217204,1,60.166031573217204
621,61.807944948389114,1,61.807944948389114
622,44.11595866819747,1,44.11595866819747
623,36.02909713307659,1,36.02909713307659
624,51.93382859768706,1,51.93382859768706
625,45.157922213521275,1,45.157922213521275
626,-11.491988442343052,0,-0.0
627,21.55070335812059,1,21.55070335812059
628,6.850304343340555,1,6.850304343340555
629,39.75409836065574,1,39.75409836065574
630,46.97557192710352,1,46.97557192710352
631,-1.4361789863097623,0,-0.0
632,42.91866028708134,1,42.91866028708134
